Time Point,Cell Line,Treatment,Target,Relative Shift,Standard Deviation
1,26,GNE-317,p-70S6k,1410.388325,367.4977131
1,26,Erlotinib,p-70S6k,1651.39783,385.5724443
1,26,(-)-Serum,p-70S6k,1133.269165,360.7141125
24,26,Palbociclib,p-70S6k,789.111955,109.0559687
24,26,GNE-317,p-70S6k,374.985235,35.63049552
24,26,DMSO,p-70S6k,643.933165,71.71149584
24,26,Erlotinib,p-70S6k,831.68538,169.7561432
24,26,GDC0980,p-70S6k,322.175355,113.4804914
24,26,(-)-Serum,p-70S6k,735.512715,172.2013255
1,6,DMSO,p-70S6k,609.51294,62.07236469
1,6,GDC0980,p-70S6k,489.4004,8.878050907
1,6,Palbociclib,p-70S6k,554.12258,106.41653
1,6,Erlotinib,p-70S6k,541.450575,139.7616281
1,6,(-)-Serum,p-70S6k,732.61522,114.9361626
1,6,GNE-317,p-70S6k,478.613435,176.0573202
24,6,DMSO,p-70S6k,473.9726067,199.8984445
24,6,GDC0980,p-70S6k,388.9100933,200.4295208
24,6,Palbociclib,p-70S6k,702.5270867,256.917078
24,6,Erlotinib,p-70S6k,520.00978,262.9821778
24,6,(-)-Serum,p-70S6k,531.62779,116.6607218
24,6,GNE-317,p-70S6k,508.8309533,315.7443266
1,26,Palbociclib,p-PDK1,1891.89873,148.056422
1,26,GDC0980,p-PDK1,2182.536635,462.0036516
1,26,DMSO,p-PDK1,2235.4701,448.4903956
1,26,GNE-317,p-PDK1,1889.02297,1.878301885
1,26,Erlotinib,p-PDK1,2125.79369,227.8064987
1,26,(-)-Serum,p-PDK1,1542.568855,536.7591644
24,26,Palbociclib,p-PDK1,1094.959975,598.4808465
24,26,GNE-317,p-PDK1,509.10029,66.1310162
24,26,DMSO,p-PDK1,1099.55459,269.6551286
24,26,Erlotinib,p-PDK1,824.13895,81.17751311
24,26,GDC0980,p-PDK1,500.16102,201.5276105
24,26,(-)-Serum,p-PDK1,1548.386805,470.8903292
1,6,DMSO,p-PDK1,797.330135,95.08650856
1,6,GDC0980,p-PDK1,557.068035,62.47185881
1,6,Palbociclib,p-PDK1,664.67038,54.15001103
1,6,Erlotinib,p-PDK1,707.421,253.7812884
1,6,(-)-Serum,p-PDK1,845.054175,31.58655184
1,6,GNE-317,p-PDK1,636.54734,231.0648467
24,6,DMSO,p-PDK1,606.8517467,266.3731628
24,6,GDC0980,p-PDK1,681.5512567,336.703171
24,6,Palbociclib,p-PDK1,1106.444957,582.1879884
24,6,Erlotinib,p-PDK1,969.8698767,377.598802
24,6,(-)-Serum,p-PDK1,932.30987,379.5694894
24,6,GNE-317,p-PDK1,713.07403,564.859347
1,26,Palbociclib,p-Rb_780,1447.48051,63.19038537
1,26,GDC0980,p-Rb_780,1619.67887,233.1431184
1,26,DMSO,p-Rb_780,1615.0272,380.1394176
1,26,GNE-317,p-Rb_780,1537.959245,22.34864015
1,26,Erlotinib,p-Rb_780,1437.570165,220.7024867
1,26,(-)-Serum,p-Rb_780,1072.25258,253.086655
24,26,Palbociclib,p-Rb_780,512.13824,54.24630483
24,26,GNE-317,p-Rb_780,318.24637,7.388374909
24,26,DMSO,p-Rb_780,462.777895,156.7836965
24,26,Erlotinib,p-Rb_780,455.50864,49.99219487
24,26,GDC0980,p-Rb_780,218.594765,57.24469921
24,26,(-)-Serum,p-Rb_780,535.690995,203.7170889
1,6,DMSO,p-Rb_780,4456.920785,296.0406131
1,6,GDC0980,p-Rb_780,4842.600805,184.6633896
1,6,Palbociclib,p-Rb_780,2300.95322,21.46507487
1,6,Erlotinib,p-Rb_780,4836.922555,211.4404486
1,6,(-)-Serum,p-Rb_780,5057.94258,191.7121482
1,6,GNE-317,p-Rb_780,5000.68218,231.7613045
24,6,DMSO,p-Rb_780,3050.584457,395.7197989
24,6,GDC0980,p-Rb_780,2149.067797,555.3633497
24,6,Palbociclib,p-Rb_780,1084.291543,373.518045
24,6,Erlotinib,p-Rb_780,2274.682117,93.10149199
24,6,(-)-Serum,p-Rb_780,4406.10795,126.8359043
24,6,GNE-317,p-Rb_780,2329.402417,513.500844
1,26,Palbociclib,p-RB_807,1260.963605,150.1181403
1,26,GDC0980,p-RB_807,1594.01731,311.4485759
1,26,DMSO,p-RB_807,1400.837615,369.6224841
1,26,GNE-317,p-RB_807,1363.049275,54.97707848
1,26,Erlotinib,p-RB_807,1406.15575,176.1874066
1,26,(-)-Serum,p-RB_807,972.5645,228.7400493
24,26,Palbociclib,p-RB_807,516.136675,117.0596679
24,26,GNE-317,p-RB_807,325.01578,52.2151406
24,26,DMSO,p-RB_807,417.164885,126.1340824
24,26,Erlotinib,p-RB_807,436.57281,1.91515629
24,26,GDC0980,p-RB_807,237.46588,59.53634037
24,26,(-)-Serum,p-RB_807,462.190555,108.1276789
1,6,DMSO,p-RB_807,6296.90418,126.2227465
1,6,GDC0980,p-RB_807,6532.015665,95.25410701
1,6,Palbociclib,p-RB_807,4188.356395,50.70899609
1,6,Erlotinib,p-RB_807,6442.4116,272.9629317
1,6,(-)-Serum,p-RB_807,6487.4428,474.4566011
1,6,GNE-317,p-RB_807,7145.610245,201.7501865
24,6,DMSO,p-RB_807,4631.985913,351.0750119
24,6,GDC0980,p-RB_807,3132.675297,798.1965242
24,6,Palbociclib,p-RB_807,1335.652677,336.6129086
24,6,Erlotinib,p-RB_807,3429.891053,229.7348638
24,6,(-)-Serum,p-RB_807,5923.15221,292.2284612
24,6,GNE-317,p-RB_807,3435.244453,602.296752
1,26,Palbociclib,p-S6_235,1962.75232,509.4393797
1,26,GDC0980,p-S6_235,1599.830035,252.864574
1,26,DMSO,p-S6_235,2499.197715,259.6212763
1,26,GNE-317,p-S6_235,1496.1977,78.49153972
1,26,Erlotinib,p-S6_235,2748.671945,380.1175185
1,26,(-)-Serum,p-S6_235,1285.817805,678.198962
24,26,Palbociclib,p-S6_235,816.502115,297.7571148
24,26,GNE-317,p-S6_235,274.085145,0.079740432
24,26,DMSO,p-S6_235,1011.62062,310.9812632
24,26,Erlotinib,p-S6_235,762.783515,137.7369127
24,26,GDC0980,p-S6_235,189.07767,20.52376018
24,26,(-)-Serum,p-S6_235,1159.596835,477.2400916
1,6,DMSO,p-S6_235,686.72682,38.467316
1,6,GDC0980,p-S6_235,364.0869,2.30571965
1,6,Palbociclib,p-S6_235,718.877505,98.89204412
1,6,Erlotinib,p-S6_235,506.020795,105.3005529
1,6,(-)-Serum,p-S6_235,826.914675,47.11843513
1,6,GNE-317,p-S6_235,336.451255,38.49347188
24,6,DMSO,p-S6_235,531.9278633,279.0077276
24,6,GDC0980,p-S6_235,329.09459,194.9614458
24,6,Palbociclib,p-S6_235,716.6213667,305.3622297
24,6,Erlotinib,p-S6_235,438.00458,226.009692
24,6,(-)-Serum,p-S6_235,701.89829,190.3366917
24,6,GNE-317,p-S6_235,450.5423,380.3687993
1,26,Palbociclib,p-S6_240,3343.226895,748.6568918
1,26,GDC0980,p-S6_240,2884.64984,674.9243717
1,26,DMSO,p-S6_240,3559.769445,261.2421913
1,26,GNE-317,p-S6_240,2667.538945,417.2492795
1,26,Erlotinib,p-S6_240,3749.385505,486.6354477
1,26,(-)-Serum,p-S6_240,2107.274415,1431.26207
24,26,Palbociclib,p-S6_240,1222.04398,100.5867316
24,26,GNE-317,p-S6_240,389.971455,20.73116167
24,26,DMSO,p-S6_240,1334.83006,440.9763819
24,26,Erlotinib,p-S6_240,1115.724325,117.6671151
24,26,GDC0980,p-S6_240,271.46925,9.797360433
24,26,(-)-Serum,p-S6_240,1444.59097,679.0456021
1,6,DMSO,p-S6_240,785.30966,12.51211307
1,6,GDC0980,p-S6_240,617.19566,6.038423211
1,6,Palbociclib,p-S6_240,750.04492,66.19307189
1,6,Erlotinib,p-S6_240,635.97176,132.9581507
1,6,(-)-Serum,p-S6_240,911.13675,74.25735603
1,6,GNE-317,p-S6_240,512.86846,202.8930054
24,6,DMSO,p-S6_240,715.3171633,293.5713542
24,6,GDC0980,p-S6_240,541.06087,278.6546644
24,6,Palbociclib,p-S6_240,890.2374633,373.4231869
24,6,Erlotinib,p-S6_240,562.8732967,237.5835023
24,6,(-)-Serum,p-S6_240,819.01098,235.3852019
24,6,GNE-317,p-S6_240,606.5973667,435.3196733
1,26,Palbociclib,p-Src,1419.72982,72.88298086
1,26,GDC0980,p-Src,1933.95175,286.2608242
1,26,DMSO,p-Src,1726.37693,294.1498307
1,26,GNE-317,p-Src,1637.700695,102.3442243
1,26,Erlotinib,p-Src,1527.42157,177.2648394
1,26,(-)-Serum,p-Src,1093.34499,308.1761706
24,26,Palbociclib,p-Src,613.05068,141.9656163
24,26,GNE-317,p-Src,365.754275,21.05299425
24,26,DMSO,p-Src,597.106625,52.73245285
24,26,Erlotinib,p-Src,672.668365,14.85719736
24,26,GDC0980,p-Src,393.2118,183.643381
24,26,(-)-Serum,p-Src,675.24821,127.140755
1,6,DMSO,p-Src,598.29608,44.70232904
1,6,GDC0980,p-Src,514.462145,28.24848457
1,6,Palbociclib,p-Src,603.39361,62.33827927
1,6,Erlotinib,p-Src,656.63116,84.92370827
1,6,(-)-Serum,p-Src,751.89593,56.19012723
1,6,GNE-317,p-Src,533.43405,112.4197252
24,6,DMSO,p-Src,513.8246233,167.6144468
24,6,GDC0980,p-Src,572.5636733,213.1563644
24,6,Palbociclib,p-Src,822.7915833,260.8122423
24,6,Erlotinib,p-Src,705.2513767,207.680443
24,6,(-)-Serum,p-Src,661.30975,198.2919466
24,6,GNE-317,p-Src,686.6037567,363.6626091
